city,country,time_of_measurement,temperature,pressure,humidity,wind_speed,weather_naming,timestamp_request
Munich,Germany,1688626558,19.8,1018.2,52,31.9,Cloudy,1688626559
Munich,Germany,1688626560,21.8,1057.0,48,49.3,Cloudy,1688626567
Munich,Germany,1688626562,26.3,1084.9,41,86.0,Sunny,1688626566
Munich,Germany,1688626564,19.5,1079.6,42,99.2,Sunny,1688626570
Munich,Germany,1688626566,23.9,1087.5,54,83.7,Sunny,1688626567
Munich,Germany,1688626568,19.1,1073.8,40,25.0,Partly cloudy,1688626572
Munich,Germany,1688626570,26.8,1018.1,59,58.3,Cloudy,1688626573
Munich,Germany,1688626572,27.1,1005.2,53,94.7,Cloudy,1688626580
Munich,Germany,1688626574,10.4,1061.4,50,66.3,Cloudy,1688626582
Munich,Germany,1688626576,16.2,1090.0,50,56.2,Light rain,1688626585
Munich,Germany,1688626578,12.4,1037.6,57,74.1,Sunny,1688626585
Munich,Germany,1688626580,28.8,1077.7,52,41.5,Sunny,1688626588
Munich,Germany,1688626582,24.0,1050.1,50,89.7,Partly cloudy,1688626588
Munich,Germany,1688626584,28.7,1088.2,45,23.8,Rainy,1688626593
Munich,Germany,1688626586,27.6,1007.2,56,20.1,Light rain,1688626592
Munich,Germany,1688626588,26.3,1005.3,53,68.4,Light rain,1688626598
Munich,Germany,1688626590,25.2,1047.7,49,76.1,Light rain,1688626598
Munich,Germany,1688626592,23.8,1070.2,53,95.5,Rainy,1688626596
Munich,Germany,1688626594,13.2,1024.9,48,61.1,Cloudy,1688626602
Munich,Germany,1688626596,27.8,1083.5,52,30.6,Sunny,1688626598
Munich,Germany,1688626598,25.2,1045.4,51,37.9,Rainy,1688626602
Munich,Germany,1688626600,21.4,1070.8,55,86.9,Rainy,1688626608
Munich,Germany,1688626602,18.4,1062.9,45,58.5,Rainy,1688626611
Munich,Germany,1688626604,14.5,1010.9,57,64.5,Rainy,1688626611
Munich,Germany,1688626606,12.9,1043.4,49,48.2,Sunny,1688626609
Munich,Germany,1688626608,20.9,1000.5,58,64.0,Light rain,1688626611
Munich,Germany,1688626610,29.3,1060.3,59,25.9,Light rain,1688626617
