city,country,time_of_measurement,temperature,pressure,humidity,wind_speed,weather_naming,timestamp_request
Berlin,Germany,1688626540,20.0,1018.0,57,50.6,Light rain,1688626541
Berlin,Germany,1688626542,11.4,1008.0,58,61.6,Partly cloudy,1688626550
Berlin,Germany,1688626544,25.7,1003.3,55,25.0,Sunny,1688626551
Berlin,Germany,1688626546,24.6,1051.3,57,27.0,Partly cloudy,1688626552
Berlin,Germany,1688626548,28.1,1098.7,54,43.8,Cloudy,1688626550
Berlin,Germany,1688626550,24.0,1003.6,59,62.9,Rainy,1688626559
Berlin,Germany,1688626552,15.8,1099.7,48,86.2,Sunny,1688626562
Berlin,Germany,1688626554,19.1,1009.1,55,75.8,Cloudy,1688626560
Berlin,Germany,1688626556,16.2,1005.4,59,46.8,Sunny,1688626557
Berlin,Germany,1688626558,11.9,1014.8,55,29.4,Rainy,1688626566
Berlin,Germany,1688626560,20.7,1054.9,54,23.4,Sunny,1688626567
Berlin,Germany,1688626562,25.8,1024.6,56,92.5,Partly cloudy,1688626567
Berlin,Germany,1688626564,13.5,1094.4,54,64.0,Sunny,1688626566
Berlin,Germany,1688626566,13.4,1095.8,41,70.7,Sunny,1688626573
Berlin,Germany,1688626568,22.5,1076.5,58,16.2,Rainy,1688626575
Berlin,Germany,1688626570,25.2,1015.4,54,67.6,Partly cloudy,1688626580
Berlin,Germany,1688626572,16.5,1032.5,41,91.5,Sunny,1688626582
Berlin,Germany,1688626574,14.1,1023.0,59,48.7,Light rain,1688626576
Berlin,Germany,1688626576,20.9,1055.7,48,91.3,Rainy,1688626586
Berlin,Germany,1688626578,23.2,1074.5,50,39.0,Sunny,1688626581
Berlin,Germany,1688626580,25.9,1065.5,41,91.5,Cloudy,1688626583
Berlin,Germany,1688626582,26.0,1065.8,58,21.4,Cloudy,1688626590
Berlin,Germany,1688626584,10.1,1083.5,43,95.2,Partly cloudy,1688626587
Berlin,Germany,1688626586,25.5,1014.3,59,51.4,Cloudy,1688626596
Berlin,Germany,1688626588,13.9,1044.1,47,69.1,Partly cloudy,1688626597
Berlin,Germany,1688626590,29.7,1084.5,40,16.3,Cloudy,1688626600
Berlin,Germany,1688626592,25.3,1094.2,44,19.1,Rainy,1688626599
Berlin,Germany,1688626594,11.3,1047.6,42,64.2,Light rain,1688626601
Berlin,Germany,1688626596,29.0,1022.0,46,50.4,Rainy,1688626603
Berlin,Germany,1688626598,19.8,1078.3,40,17.7,Light rain,1688626603
Berlin,Germany,1688626600,15.4,1048.3,50,13.9,Cloudy,1688626603
Berlin,Germany,1688626602,14.2,1066.6,45,57.7,Cloudy,1688626611
Berlin,Germany,1688626604,28.8,1024.0,58,74.5,Light rain,1688626613
Berlin,Germany,1688626606,17.7,1046.6,44,70.9,Rainy,1688626615
Berlin,Germany,1688626608,19.7,1001.6,55,54.7,Light rain,1688626612
Berlin,Germany,1688626610,13.4,1084.2,45,14.5,Cloudy,1688626618
Berlin,Germany,1688626612,13.5,1046.9,59,21.3,Cloudy,1688626615
Berlin,Germany,1688626614,24.0,1050.8,53,43.0,Sunny,1688626623
Berlin,Germany,1688626616,18.4,1078.3,47,26.4,Cloudy,1688626624
Berlin,Germany,1688626618,23.5,1062.9,40,23.3,Partly cloudy,1688626628
Berlin,Germany,1688626620,15.3,1075.2,47,17.3,Sunny,1688626628
Berlin,Germany,1688626622,23.7,1004.3,48,13.0,Rainy,1688626630
Berlin,Germany,1688626624,24.1,1041.5,55,13.9,Partly cloudy,1688626628
Berlin,Germany,1688626626,23.0,1052.4,46,56.6,Partly cloudy,1688626633
Berlin,Germany,1688626628,15.5,1018.6,54,39.8,Rainy,1688626633
Berlin,Germany,1688626630,12.8,1073.7,43,13.4,Light rain,1688626631
Berlin,Germany,1688626632,10.1,1011.6,53,11.1,Rainy,1688626642
